Població segons llengua habitual
Catalunya. 2018
Unitats: Milers de persones i Percentatges.
Font: Idescat i Direcció General de Política Lingüística. Enquesta d'usos lingüístics de la població.
Institut d'Estadística de Catalunya
http://www.idescat.cat/pub/?id=eulp&n=3192
;Població;%
Llengües més freqüents;;
Català;2305.1;36.1
Castellà;3104.6;48.6
Català i castellà;474.2;7.4
Aranès;1.7;0.0
Àrab;60.6;0.9
Anglès;25.8;0.4
Romanès;23.8;0.4
Berber Amazic;19.8;0.3
Xinès;18.1;0.3
Francès;15.6;0.2
Altres llengües;108.7;1.7
Altres combinacions de llengües;192.9;3.0
No consta;35.7;0.6
Total;6386.6;100.0

