Id,Clau,Titol,Longitud,Latitud,Desapareguda,Bandol,TipusFossa,Notes,Font,Documentacio,HospMilitar,NumRestes,Municipi,Comarca,IdCategoria,Estudi_Ebre,Fitxa,Excavades,Data creació,Inicipublicacio,Georeferència,LIMADM_MUNICIPI,LIMADM COMARCA
164444,Domenges_fossa,Domenges,0.434427,41.064232,No,Republicà,Soldats,"Fossa localitzada arran de l'estudi dut a terme per la Universitat Rovira i Virgili l'any 2016, per encàrrec de la Generalitat de Catalunya.
Pròximament es completarà la informació d'aquesta fossa.",,,,50 aprox.,Gandesa,Terra Alta,Confirmada,Ebre,http://fossesirepressio.gencat.cat/ca/domenges,No,,,"(41.064232, 0.434427)",205,38
160854,Cal Coral,Cal Coral,1.44884348,41.31465978,Sí,Republicà,Soldats,Soldats republicans morts com a conseqüència dels enfrontaments dels dies 19 i 20 de gener de 1939.,Les fosses de la Guerra Civil al Penedès,Font oral,,3,"Montmell, el",Baix Penedès,Probable,Antiga,http://fossesirepressio.gencat.cat/ca/montmell-cal-coral,No,,,"(41.31465978, 1.44884348)",835,33
161606,Mallolis,Mallolis,1.2578763,42.4959781,No,,,"La informació prové de la recerca sobre el ""Cost Humà de la Guerra Civil"" del Centre d'Història Contemporània de Catalunya.",,"Ajuntament de Farrera, Registre Civil",,1,Farrera,Pallars Sobirà,Probable,Antiga,http://fossesirepressio.gencat.cat/ca/161605,No,,,"(42.4959781, 1.2578763)",337,2
160824,Cementiri de Santa Oliva_fossa,Cementiri de Santa Oliva,1.55076742,41.24657126,Sí,Republicà,Soldats,"En aquesta fossa fou inhumat un soldat republicà que va morir al Camp d'Aviació de Santa Oliva el 20 de gener de 1939, tot coincidint amb l'entrada de les tropes franquistes.",Les fosses de la guerra civil al Penedès,,,1,Santa Oliva,Baix Penedès,Probable,Antiga,http://fossesirepressio.gencat.cat/ca/santa-oliva-cementiri,No,,,"(41.24657126, 1.55076742)",380,33
125953,Cabra del Camp: Terme municipal,Cabra del Camp: Terme municipal,1.2759416,41.3949646,No,Republicà,Soldats,"Es localitzen tres fosses, dues d'elles fora del cementiri. Foren inhumats soldats republicans en retirada.","Solé i Barjau, Queralt. Els morts clandestins. Les fosses comunes de la Guerra Civil a Catalunya (1936-1939). Catarroja: Ed. Afers, 2009.",,,20,Cabra del Camp,Alt camp,Confirmada,Antiga,http://fossesirepressio.gencat.cat/ca/cabra-del-camp-fora-del-cementiri,No,,,"(41.3949646, 1.2759416)",739,30
126142,Cementiri de Castellserà,Cementiri de Castellserà,0.99257827,41.75150449,Sí,Rebel,Hospital Militar,"El castell del Remei, a Castellserà, amb l’avenç de les tropes franquistes sobre Catalunya, es convertí en polvorí i part en hospital militar. El 20 de gener de 1939, quan s’estaven manipulant projectils de diversos camions, n’esclatà un i la reacció en cadena provocà una gran explosió que matà als soldats que eren al castell, així com a vuit civils. Tots els soldats foren enterrats en una fossa comuna del cementiri. D’aquests se’n sabia la identitat de 66, 17 no es pogueren identificar.","Joan Civit: ""El accidente más trágico en las comarcas de Lleida del siglo XX"". La Mañana, 21 de gener de 1996. Joan Civit: ""Testimonis de la Guerra Civil: La major tragèdia del segle XX a la província de Lleida (1939-1999), en què van morir 192 persones en esclatar un polvorí de guerra al Castell del Remei"". Urtx, Revista cultural de l'Urgell. Núm. 14, abril de 2001. Pàg. 254-257. Hi ha reproduït el llistat de les persones mortes i inhumades al cementiri de Castellserà.","Arxiu del Registre Civil de Castellserà. Arxiu Històric de Lleida, Fons Govern Civil.",Hospital Militar Castell del Remei,100 aprox.,Castellserà,Urgell,Confirmada,Antiga,http://fossesirepressio.gencat.cat/ca/castellsera-cementiri,No,,,"(41.75150449, 0.99257827)",858,17
126034,Cementiri de Lleida,Cementiri de Lleida,0.65497398,41.61191295,No,Ambdós bàndols,,"La fossa del cementiri de Lleida ja era utilitzada abans de la guerra, i ho continuà sent després. Era la fossa pròpia del cementiri on s'inhumava a la gent sense recursos. Durant la guerra i la posterior postguerra foren enterrats víctimes de bombardeigs, represaliats a la rereguarda, soldats morts als hospitals militars i víctimes de la repressió franquista (182 + presons). Als anys 60 unes 502 restes de soldats foren traslladades al Valle de los Caídos. Més informació: <a href=""http://www.victimesguerracivilfranquisme.udl.cat/presentacio.php"" title="""" class="""" target="""">http://www.victimesguerracivilfranquisme.udl.cat/presentacio.php</a>","Solé i Sabaté, J.M.: La repressió franquista a Catalunya. Edicions 62, Barcelona 2003. Barallat, Mercè: La repressió a la postguerra civil a Lleida (1938-1945). Publicacions de l'Abadia de Montserrat, Barcelona 1991. Solé i Barjau, Queralt: Els morts clandestins. Les fosses comunes de la Guerra Civil a Catalunya (1936-1939). Catarroja, Ed. Afers, 2009. webserveis5.udl.es/gcivil/cem_lleida.php",Registre Civil de Lleida. Arxiu Històric de Lleida. Tribunal Militar Territorial III,,,Lleida,Segrià,Confirmada,Antiga,http://fossesirepressio.gencat.cat/ca/cementiri-de-lleida,No,,,"(41.61191295, 0.65497398)",875,21
161198,Camí de Sant Jordi_fossa,Tomba de Joan Montserrat,0.88641644,41.87522306,No,Republicà,Soldats,"En el moment de l'ofensiva franquista sobre Catalunya del desembre de 1938, aquesta zona estava defensada per la 38 Brigada Mixta de la 72a Divisió republicana. El dia 28 de desembre de 1938, les forces franquistes, trenquen pel nord del cap de pont de Balaguer les línies defensives republicanes de la 72a Divisió i avancen en direcció Artesa de Segre seguint el marge dret del riu Segre. El poble de Camarasa fou ocupat el dia 30 de desembre. El nebot d'un testimoni directe declara que el cos d'en Joan Montserrat fou trobat pel seu oncle, atès que les autoritats franquistes el varen obligar a recollir restes de soldats dispersos pel terme municipal de Camarasa. La tomba va ser construïda pels seus familiars un cop acabada la Guerra Civil.","Fonts orals: Miquel Vendrell Cudós, nebot d'en Valeri Cudós i Guillaumet.",,,1,Camarasa,Noguera,Confirmada,Antiga,http://fossesirepressio.gencat.cat/ca/cami-sant-jordi-camarasa,No,,,"(41.87522306, 0.88641644)",113,15
160931,Cementiri de La Granada,Cementiri de La Granada,1.72418833,41.37836233,Sí,Republicà,Soldats,Es tractà d'un soldat republicà que fou trobat a la Garrofa i que va ser enterrat en una fossa al cementiri de la Granada. Aquest indret durant molts anys va ser assenyalat amb una petita creu. Actualment hi ha un monument dedicat a tots els morts de la Guerra Civil.,Les fosses de la Guerra Civil al Penedès.,,,1,"Granada, la",Alt Penedès,Confirmada,Antiga,http://fossesirepressio.gencat.cat/ca/la-granada-del-penedes-cementiri,No,,,"(41.37836233, 1.72418833)",836,32
125742,Cementiri Sant Hilari Sacalm,Cementiri de Sant Hilari Sacalm,2.51315475,41.87043966,Sí,Republicà,Hospital Militar,"A Sant Hilari Sacalm hi fou instal·lada l'anomenada Clínica Militar núm. 10, dins de l'Agrupació d'Hospitals Militars de Girona. Es va ubicar dins d'edificis del poble, anomenats pavellons o dependències, situat el més gran, el número 1, a la Plaça Major, amb 270 llits, i els altres tenien de 90 a 115.","Solé i Barjau, Queralt. Els morts clandestins. Les fosses comunes de la Guerra Civil a Catalunya (1936-1939). Catarroja: Ed. Afers, 2009.",,Hospital d’Evacuació o reraguarda. Clínica Militar núm. 10,Desconegut,Sant Hilari Sacalm,Selva,Probable,Antiga,http://fossesirepressio.cat/ca/sant-hilari-sacalm-cementiri,No,,,"(41.87043966, 2.51315475)",35,20
